!SIL	SIL
<SPOKEN_NOISE>	SPN
안동에	f11 m0 e3 f3 m8 e20 f11 m5 
안동역	f11 m0 e3 f3 m8 e20 f11 m6 e0 
안동용상병원	f11 m0 e3 f3 m8 e20 f11 m12 e20 f9 m0 e20 f7 m6 e20 f11 m14 e3 
안동의료원	f11 m0 e3 f3 m8 e20 f11 m19 f5 m12 f11 m14 e3 
안동점	f11 m0 e3 f3 m8 e20 f12 m4 e15 
안동중	f11 m0 e3 f3 m8 e20 f12 m13 e20 
안동중에게	f11 m0 e3 f3 m8 e20 f12 m13 e20 f11 m5 f0 m5 
안동지점	f11 m0 e3 f3 m8 e20 f12 m20 f12 m4 e15 
안동체육공원	f11 m0 e3 f3 m8 e20 f14 m5 f11 m17 e0 f0 m8 e20 f11 m14 e3 
안동추모공원	f11 m0 e3 f3 m8 e20 f14 m13 f6 m8 f0 m8 e20 f11 m14 e3 
안동하회마을	f11 m0 e3 f3 m8 e20 f18 m0 f18 m11 f6 m0 f11 m18 e7 
안디옥교회	f11 m0 e3 f3 m20 f11 m8 e0 f0 m12 f18 m11 
안락	f11 m0 e3 f5 m0 e0 
안락동	f11 m0 e3 f5 m0 e0 f3 m8 e20 
안로7번길	f11 m0 e3 f5 m8 7 f7 m4 e3 f0 m20 e7 
안리환에게	f11 m0 e3 f5 m20 f18 m9 e3 f11 m5 f0 m5 
안림동	f11 m0 e3 f5 m20 e15 f3 m8 e20 
안림점	f11 m0 e3 f5 m20 e15 f12 m4 e15 
안마산로	f11 m0 e3 f6 m0 f9 m0 e3 f5 m8 
안마원	f11 m0 e3 f6 m0 f11 m14 e3 
안마을	f11 m0 e3 f6 m0 f11 m18 e7 
안면	f11 m0 e3 f6 m6 e3 
안면대로	f11 m0 e3 f6 m6 e3 f3 m1 f5 m8 
안면도	f11 m0 e3 f6 m6 e3 f3 m8 
안면읍	f11 m0 e3 f6 m6 e3 f11 m18 e16 
안면해수욕장	f11 m0 e3 f6 m6 e3 f18 m1 f9 m13 f11 m12 e0 f12 m0 e20 
안명선	f11 m0 e3 f6 m6 e20 f9 m4 e3 
안명숙	f11 m0 e3 f6 m6 e20 f9 m13 e0 
안명옥에게	f11 m0 e3 f6 m6 e20 f11 m8 e0 f11 m5 f0 m5 
안명화에게	f11 m0 e3 f6 m6 e20 f18 m9 f11 m5 f0 m5 
안명훈에게	f11 m0 e3 f6 m6 e20 f18 m13 e3 f11 m5 f0 m5 
안목	f11 m0 e3 f6 m8 e0 
안목항	f11 m0 e3 f6 m8 e0 f18 m0 e20 
안목해변	f11 m0 e3 f6 m8 e0 f18 m1 f7 m6 e3 
안묵해변	f11 m0 e3 f6 m13 e0 f18 m1 f7 m6 e3 
안문섭에게	f11 m0 e3 f6 m13 e3 f9 m4 e16 f11 m5 f0 m5 
안미진	f11 m0 e3 f6 m20 f12 m20 e3 
안미혜에게	f11 m0 e3 f6 m20 f18 m7 f11 m5 f0 m5 
안민고개	f11 m0 e3 f6 m20 e3 f0 m8 f0 m1 
안민규	f11 m0 e3 f6 m20 e3 f0 m17 
안민동	f11 m0 e3 f6 m20 e3 f3 m8 e20 
안민실에게	f11 m0 e3 f6 m20 e3 f9 m20 e7 f11 m5 f0 m5 
안민우에게	f11 m0 e3 f6 m20 e3 f11 m13 f11 m5 f0 m5 
안반데기	f11 m0 e3 f7 m0 e3 f3 m5 f0 m20 
안방마님	f11 m0 e3 f7 m0 e20 f6 m0 f2 m20 e15 
안법고등학교	f11 m0 e3 f7 m4 e16 f0 m8 f3 m18 e20 f18 m0 e0 f0 m12 
안병남	f11 m0 e3 f7 m6 e20 f2 m0 e15 
안병문	f11 m0 e3 f7 m6 e20 f6 m13 e3 
안병욱	f11 m0 e3 f7 m6 e20 f11 m13 e0 
안병웅에게	f11 m0 e3 f7 m6 e20 f11 m13 e20 f11 m5 f0 m5 
안병원	f11 m0 e3 f7 m6 e20 f11 m14 e3 
안병주에게	f11 m0 e3 f7 m6 e20 f12 m13 f11 m5 f0 m5 
안보	f11 m0 e3 f7 m8 
안복진	f11 m0 e3 f7 m8 e0 f12 m20 e3 
안부장에게	f11 m0 e3 f7 m13 f12 m0 e20 f11 m5 f0 m5 
안사람에게	f11 m0 e3 f9 m0 f5 m0 e15 f11 m5 f0 m5 
안사장님에게	f11 m0 e3 f9 m0 f12 m0 e20 f2 m20 e15 f11 m5 f0 m5 
안사장에게	f11 m0 e3 f9 m0 f12 m0 e20 f11 m5 f0 m5 
안산	f11 m0 e3 f9 m0 e3 
안산ic	f11 m0 e3 f9 m0 e3 i c 
안산경찰서	f11 m0 e3 f9 m0 e3 f0 m6 e20 f14 m0 e7 f9 m4 
안산고대병원	f11 m0 e3 f9 m0 e3 f0 m8 f3 m1 f7 m6 e20 f11 m14 e3 
안산고용보험센타	f11 m0 e3 f9 m0 e3 f0 m8 f11 m12 e20 f7 m8 f18 m4 e15 f9 m5 e3 f16 m0 
안산고용센터	f11 m0 e3 f9 m0 e3 f0 m8 f11 m12 e20 f9 m5 e3 f16 m4 
안산디지털파크	f11 m0 e3 f9 m0 e3 f3 m20 f12 m20 f16 m4 e7 f17 m0 f15 m18 
안산법원	f11 m0 e3 f9 m0 e3 f7 m4 e16 f11 m14 e3 
안산병원	f11 m0 e3 f9 m0 e3 f7 m6 e20 f11 m14 e3 
안산사동지점	f11 m0 e3 f9 m0 e3 f9 m0 f3 m8 e20 f12 m20 f12 m4 e15 
안산산업고	f11 m0 e3 f9 m0 e3 f9 m0 e3 f11 m4 e16 f0 m8 
안산성포점	f11 m0 e3 f9 m0 e3 f9 m4 e20 f17 m8 f12 m4 e15 
안산시	f11 m0 e3 f9 m0 e3 f9 m20 
안산시민시장	f11 m0 e3 f9 m0 e3 f9 m20 f6 m20 e3 f9 m20 f12 m0 e20 
안산시청	f11 m0 e3 f9 m0 e3 f9 m20 f14 m4 e20 
안산시티	f11 m0 e3 f9 m0 e3 f9 m20 f16 m20 
안산식물원	f11 m0 e3 f9 m0 e3 f9 m20 e0 f6 m13 e7 f11 m14 e3 
안산에게	f11 m0 e3 f9 m0 e3 f11 m5 f0 m5 
안산역	f11 m0 e3 f9 m0 e3 f11 m6 e0 
안산역이요	f11 m0 e3 f9 m0 e3 f11 m6 e0 f11 m20 f11 m12 
안산우체국	f11 m0 e3 f9 m0 e3 f11 m13 f14 m5 f0 m13 e0 
안산유통상가	f11 m0 e3 f9 m0 e3 f11 m17 f16 m8 e20 f9 m0 e20 f0 m0 
안산점	f11 m0 e3 f9 m0 e3 f12 m4 e15 
안산중앙역	f11 m0 e3 f9 m0 e3 f12 m13 e20 f11 m0 e20 f11 m6 e0 
안산지방법원	f11 m0 e3 f9 m0 e3 f12 m20 f7 m0 e20 f7 m4 e16 f11 m14 e3 
안산지사	f11 m0 e3 f9 m0 e3 f12 m20 f9 m0 
안산지원	f11 m0 e3 f9 m0 e3 f12 m20 f11 m14 e3 
안산지점	f11 m0 e3 f9 m0 e3 f12 m20 f12 m4 e15 
안산패션타운	f11 m0 e3 f9 m0 e3 f17 m1 f9 m6 e3 f16 m0 f11 m13 e3 
안산호수공원	f11 m0 e3 f9 m0 e3 f18 m8 f9 m13 f0 m8 e20 f11 m14 e3 
안상우	f11 m0 e3 f9 m0 e20 f11 m13 
안상욱	f11 m0 e3 f9 m0 e20 f11 m13 e0 
안상이에게	f11 m0 e3 f9 m0 e20 f11 m20 f11 m5 f0 m5 
안서	f11 m0 e3 f9 m4 
안서골	f11 m0 e3 f9 m4 f0 m8 e7 
안서방	f11 m0 e3 f9 m4 f7 m0 e20 
안서방에게	f11 m0 e3 f9 m4 f7 m0 e20 f11 m5 f0 m5 
안석	f11 m0 e3 f9 m4 e0 
안석로	f11 m0 e3 f9 m4 e0 f5 m8 
안선배에게	f11 m0 e3 f9 m4 e3 f7 m1 f11 m5 f0 m5 
안선생에게	f11 m0 e3 f9 m4 e3 f9 m1 e20 f11 m5 f0 m5 
안선주	f11 m0 e3 f9 m4 e3 f12 m13 
안성	f11 m0 e3 f9 m4 e20 
안성cc	f11 m0 e3 f9 m4 e20 c c 
안성ic	f11 m0 e3 f9 m4 e20 i c 
안성w	f11 m0 e3 f9 m4 e20 w 
안성대로	f11 m0 e3 f9 m4 e20 f3 m1 f5 m8 
안성리	f11 m0 e3 f9 m4 e20 f5 m20 
안성맞춤대로	f11 m0 e3 f9 m4 e20 f6 m0 e21 f14 m13 e15 f3 m1 f5 m8 
안성면	f11 m0 e3 f9 m4 e20 f6 m6 e3 
안성면사무소	f11 m0 e3 f9 m4 e20 f6 m6 e3 f9 m0 f6 m13 f9 m8 
안성민	f11 m0 e3 f9 m4 e20 f6 m20 e3 
안성배	f11 m0 e3 f9 m4 e20 f7 m1 
안성베네스트cc	f11 m0 e3 f9 m4 e20 f7 m5 f2 m5 f9 m18 f16 m18 c c 
안성상가	f11 m0 e3 f9 m4 e20 f9 m0 e20 f0 m0 
안성성모병원	f11 m0 e3 f9 m4 e20 f9 m4 e20 f6 m8 f7 m6 e20 f11 m14 e3 
안성시	f11 m0 e3 f9 m4 e20 f9 m20 
안성시청	f11 m0 e3 f9 m4 e20 f9 m20 f14 m4 e20 
안성식당	f11 m0 e3 f9 m4 e20 f9 m20 e0 f3 m0 e20 
안성원	f11 m0 e3 f9 m4 e20 f11 m14 e3 
안성중앙대	f11 m0 e3 f9 m4 e20 f12 m13 e20 f11 m0 e20 f3 m1 
안성지사	f11 m0 e3 f9 m4 e20 f12 m20 f9 m0 
안성캠퍼스	f11 m0 e3 f9 m4 e20 f15 m1 e15 f17 m4 f9 m18 
안성팜랜드	f11 m0 e3 f9 m4 e20 f17 m0 e15 f5 m1 e3 f3 m18 
안성휴게소	f11 m0 e3 f9 m4 e20 f18 m17 f0 m5 f9 m8 
안세병원사거리	f11 m0 e3 f9 m5 f7 m6 e20 f11 m14 e3 f9 m0 f0 m4 f5 m20 
안세은에게	f11 m0 e3 f9 m5 f11 m18 e3 f11 m5 f0 m5 
안소장에게	f11 m0 e3 f9 m8 f12 m0 e20 f11 m5 f0 m5 
안소희에게	f11 m0 e3 f9 m8 f18 m19 f11 m5 f0 m5 
안수터길	f11 m0 e3 f9 m13 f16 m4 f0 m20 e7 
안숙한에게	f11 m0 e3 f9 m13 e0 f18 m0 e3 f11 m5 f0 m5 
안숙희	f11 m0 e3 f9 m13 e0 f18 m19 
안슈왕	f11 m0 e3 f9 m17 f11 m9 e20 
안스베이커리	f11 m0 e3 f9 m18 f7 m5 f11 m20 f15 m4 f5 m20 
안승봉에게	f11 m0 e3 f9 m18 e20 f7 m8 e20 f11 m5 f0 m5 
안승열한테	f11 m0 e3 f9 m18 e20 f11 m6 e7 f18 m0 e3 f16 m5 
안식씨에게	f11 m0 e3 f9 m20 e0 f10 m20 f11 m5 f0 m5 
안심	f11 m0 e3 f9 m20 e15 
안심로	f11 m0 e3 f9 m20 e15 f5 m8 
안심로7길	f11 m0 e3 f9 m20 e15 f5 m8 7 f0 m20 e7 
안심산길	f11 m0 e3 f9 m20 e15 f9 m0 e3 f0 m20 e7 
안심우체국	f11 m0 e3 f9 m20 e15 f11 m13 f14 m5 f0 m13 e0 
안쌤에게	f11 m0 e3 f10 m1 e15 f11 m5 f0 m5 
안아주아파트	f11 m0 e3 f11 m0 f12 m13 f11 m0 f17 m0 f16 m18 
안암	f11 m0 e3 f11 m0 e15 
안암병원	f11 m0 e3 f11 m0 e15 f7 m6 e20 f11 m14 e3 
안암오거리	f11 m0 e3 f11 m0 e15 f11 m8 f0 m4 f5 m20 
안압지	f11 m0 e3 f11 m0 e16 f12 m20 
안애	f11 m0 e3 f11 m1 
안양	f11 m0 e3 f11 m2 e20 
안양1동	f11 m0 e3 f11 m2 e20 1 f3 m8 e20 
안양2동	f11 m0 e3 f11 m2 e20 2 f3 m8 e20 
안양3동	f11 m0 e3 f11 m2 e20 3 f3 m8 e20 
안양4동	f11 m0 e3 f11 m2 e20 4 f3 m8 e20 
안양ic	f11 m0 e3 f11 m2 e20 i c 
안양대학교	f11 m0 e3 f11 m2 e20 f3 m1 f18 m0 e0 f0 m12 
안양동	f11 m0 e3 f11 m2 e20 f3 m8 e20 
안양동편마을점	f11 m0 e3 f11 m2 e20 f3 m8 e20 f17 m6 e3 f6 m0 f11 m18 e7 f12 m4 e15 
안양로	f11 m0 e3 f11 m2 e20 f5 m8 
안양리	f11 m0 e3 f11 m2 e20 f5 m20 
안양메트로병원	f11 m0 e3 f11 m2 e20 f6 m5 f16 m18 f5 m8 f7 m6 e20 f11 m14 e3 
안양면	f11 m0 e3 f11 m2 e20 f6 m6 e3 
안양본점	f11 m0 e3 f11 m2 e20 f7 m8 e3 f12 m4 e15 
안양샘병원	f11 m0 e3 f11 m2 e20 f9 m1 e15 f7 m6 e20 f11 m14 e3 
안양시	f11 m0 e3 f11 m2 e20 f9 m20 
안양시청	f11 m0 e3 f11 m2 e20 f9 m20 f14 m4 e20 
안양역	f11 m0 e3 f11 m2 e20 f11 m6 e0 
안양예고	f11 m0 e3 f11 m2 e20 f11 m7 f0 m8 
안양예술고등학교	f11 m0 e3 f11 m2 e20 f11 m7 f9 m13 e7 f0 m8 f3 m18 e20 f18 m0 e0 f0 m12 
안양예술공원	f11 m0 e3 f11 m2 e20 f11 m7 f9 m13 e7 f0 m8 e20 f11 m14 e3 
안양우체국	f11 m0 e3 f11 m2 e20 f11 m13 f14 m5 f0 m13 e0 
안양유원지	f11 m0 e3 f11 m2 e20 f11 m17 f11 m14 e3 f12 m20 
안양점	f11 m0 e3 f11 m2 e20 f12 m4 e15 
안양종합운동장	f11 m0 e3 f11 m2 e20 f12 m8 e20 f18 m0 e16 f11 m13 e3 f3 m8 e20 f12 m0 e20 
안양천로	f11 m0 e3 f11 m2 e20 f14 m4 e3 f5 m8 
안양초등학교	f11 m0 e3 f11 m2 e20 f14 m8 f3 m18 e20 f18 m0 e0 f0 m12 
안양축산농협	f11 m0 e3 f11 m2 e20 f14 m13 e0 f9 m0 e3 f2 m8 e20 f18 m6 e16 
안양판교로	f11 m0 e3 f11 m2 e20 f17 m0 e3 f0 m12 f5 m8 
안에	f11 m0 e3 f11 m5 
안에희에게	f11 m0 e3 f11 m5 f18 m19 f11 m5 f0 m5 
안여점에게	f11 m0 e3 f11 m6 f12 m4 e15 f11 m5 f0 m5 
안연로	f11 m0 e3 f11 m6 e3 f5 m8 
안영ic	f11 m0 e3 f11 m6 e20 i c 
안영교회	f11 m0 e3 f11 m6 e20 f0 m12 f18 m11 
안영길	f11 m0 e3 f11 m6 e20 f0 m20 e7 
안영동	f11 m0 e3 f11 m6 e20 f3 m8 e20 
안영미에게	f11 m0 e3 f11 m6 e20 f6 m20 f11 m5 f0 m5 
안영숙에게	f11 m0 e3 f11 m6 e20 f9 m13 e0 f11 m5 f0 m5 
안영신	f11 m0 e3 f11 m6 e20 f9 m20 e3 
안영에게	f11 m0 e3 f11 m6 e20 f11 m5 f0 m5 
안영옥	f11 m0 e3 f11 m6 e20 f11 m8 e0 
안영자에게	f11 m0 e3 f11 m6 e20 f12 m0 f11 m5 f0 m5 
안영재	f11 m0 e3 f11 m6 e20 f12 m1 
안영진에게	f11 m0 e3 f11 m6 e20 f12 m20 e3 f11 m5 f0 m5 
안영철에게	f11 m0 e3 f11 m6 e20 f14 m4 e7 f11 m5 f0 m5 
안영희에게	f11 m0 e3 f11 m6 e20 f18 m19 f11 m5 f0 m5 
안용한	f11 m0 e3 f11 m12 e20 f18 m0 e3 
안용환	f11 m0 e3 f11 m12 e20 f18 m9 e3 
안유	f11 m0 e3 f11 m17 
안윤서에게	f11 m0 e3 f11 m17 e3 f9 m4 f11 m5 f0 m5 
안윤희	f11 m0 e3 f11 m17 e3 f18 m19 
안은성	f11 m0 e3 f11 m18 e3 f9 m4 e20 
안은정	f11 m0 e3 f11 m18 e3 f12 m4 e20 
안은정한테	f11 m0 e3 f11 m18 e3 f12 m4 e20 f18 m0 e3 f16 m5 
안은희	f11 m0 e3 f11 m18 e3 f18 m19 
안의	f11 m0 e3 f11 m19 
안의면	f11 m0 e3 f11 m19 f6 m6 e3 
안이사님에게	f11 m0 e3 f11 m20 f9 m0 f2 m20 e15 f11 m5 f0 m5 
안인	f11 m0 e3 f11 m20 e3 
안인경	f11 m0 e3 f11 m20 e3 f0 m6 e20 
안인숙에게	f11 m0 e3 f11 m20 e3 f9 m13 e0 f11 m5 f0 m5 
안인순	f11 m0 e3 f11 m20 e3 f9 m13 e3 
안일용에게	f11 m0 e3 f11 m20 e7 f11 m12 e20 f11 m5 f0 m5 
안재동에게	f11 m0 e3 f12 m1 f3 m8 e20 f11 m5 f0 m5 
안재선에게	f11 m0 e3 f12 m1 f9 m4 e3 f11 m5 f0 m5 
안재신에게	f11 m0 e3 f12 m1 f9 m20 e3 f11 m5 f0 m5 
안재찬에게	f11 m0 e3 f12 m1 f14 m0 e3 f11 m5 f0 m5 
안재현에게	f11 m0 e3 f12 m1 f18 m6 e3 f11 m5 f0 m5 
안전	f11 m0 e3 f12 m4 e3 
안전관리인증원	f11 m0 e3 f12 m4 e3 f0 m9 e3 f5 m20 f11 m20 e3 f12 m18 e20 f11 m14 e3 
안전성평가연구원	f11 m0 e3 f12 m4 e3 f9 m4 e20 f17 m6 e20 f0 m0 f11 m6 e3 f0 m13 f11 m14 e3 
안전처	f11 m0 e3 f12 m4 e3 f14 m4 
안정	f11 m0 e3 f12 m4 e20 
안정균에게	f11 m0 e3 f12 m4 e20 f0 m17 e3 f11 m5 f0 m5 
안정로	f11 m0 e3 f12 m4 e20 f5 m8 
안정리	f11 m0 e3 f12 m4 e20 f5 m20 
안정복	f11 m0 e3 f12 m4 e20 f7 m8 e0 
안정복에게	f11 m0 e3 f12 m4 e20 f7 m8 e0 f11 m5 f0 m5 
안정숙	f11 m0 e3 f12 m4 e20 f9 m13 e0 
안정순환로	f11 m0 e3 f12 m4 e20 f9 m13 e3 f18 m9 e3 f5 m8 
안정찬에게	f11 m0 e3 f12 m4 e20 f14 m0 e3 f11 m5 f0 m5 
안정태	f11 m0 e3 f12 m4 e20 f16 m1 
안정화에게	f11 m0 e3 f12 m4 e20 f18 m9 f11 m5 f0 m5 
안정훈에게	f11 m0 e3 f12 m4 e20 f18 m13 e3 f11 m5 f0 m5 
안정희	f11 m0 e3 f12 m4 e20 f18 m19 
안정희에게	f11 m0 e3 f12 m4 e20 f18 m19 f11 m5 f0 m5 
안젤라	f11 m0 e3 f12 m5 e7 f5 m0 
안종근에게	f11 m0 e3 f12 m8 e20 f0 m18 e3 f11 m5 f0 m5 
안종식	f11 m0 e3 f12 m8 e20 f9 m20 e0 
안종태	f11 m0 e3 f12 m8 e20 f16 m1 
안좌농협	f11 m0 e3 f12 m9 f2 m8 e20 f18 m6 e16 
안주인	f11 m0 e3 f12 m13 f11 m20 e3 
안주일에게	f11 m0 e3 f12 m13 f11 m20 e7 f11 m5 f0 m5 
안주현에게	f11 m0 e3 f12 m13 f18 m6 e3 f11 m5 f0 m5 
안주희	f11 m0 e3 f12 m13 f18 m19 
안죽한에게	f11 m0 e3 f12 m13 e0 f18 m0 e3 f11 m5 f0 m5 
안준상	f11 m0 e3 f12 m13 e3 f9 m0 e20 
안준일	f11 m0 e3 f12 m13 e3 f11 m20 e7 
안준환에게	f11 m0 e3 f12 m13 e3 f18 m9 e3 f11 m5 f0 m5 
안중	f11 m0 e3 f12 m13 e20 
안중국	f11 m0 e3 f12 m13 e20 f0 m13 e0 
안중로	f11 m0 e3 f12 m13 e20 f5 m8 
안중리	f11 m0 e3 f12 m13 e20 f5 m20 
안중민	f11 m0 e3 f12 m13 e20 f6 m20 e3 
안중오거리	f11 m0 e3 f12 m13 e20 f11 m8 f0 m4 f5 m20 
안중읍	f11 m0 e3 f12 m13 e20 f11 m18 e16 
안중읍사무소	f11 m0 e3 f12 m13 e20 f11 m18 e16 f9 m0 f6 m13 f9 m8 
안중한	f11 m0 e3 f12 m13 e20 f18 m0 e3 
안지기에게	f11 m0 e3 f12 m20 f0 m20 f11 m5 f0 m5 
안지랑	f11 m0 e3 f12 m20 f5 m0 e20 
안지랑네거리	f11 m0 e3 f12 m20 f5 m0 e20 f2 m5 f0 m4 f5 m20 
안지민에게	f11 m0 e3 f12 m20 f6 m20 e3 f11 m5 f0 m5 
안지선에게	f11 m0 e3 f12 m20 f9 m4 e3 f11 m5 f0 m5 
안지윤	f11 m0 e3 f12 m20 f11 m17 e3 
안지율에게	f11 m0 e3 f12 m20 f11 m17 e7 f11 m5 f0 m5 
안진수	f11 m0 e3 f12 m20 e3 f9 m13 
안진에게	f11 m0 e3 f12 m20 e3 f11 m5 f0 m5 
안진완	f11 m0 e3 f12 m20 e3 f11 m9 e3 
안진주에게	f11 m0 e3 f12 m20 e3 f12 m13 f11 m5 f0 m5 
안질골로	f11 m0 e3 f12 m20 e7 f0 m8 e7 f5 m8 
안집	f11 m0 e3 f12 m20 e16 
안차장	f11 m0 e3 f14 m0 f12 m0 e20 
안찬식에게	f11 m0 e3 f14 m0 e3 f9 m20 e0 f11 m5 f0 m5 
안창길	f11 m0 e3 f14 m0 e20 f0 m20 e7 
안창남에게	f11 m0 e3 f14 m0 e20 f2 m0 e15 f11 m5 f0 m5 
안창리	f11 m0 e3 f14 m0 e20 f5 m20 
안창마을	f11 m0 e3 f14 m0 e20 f6 m0 f11 m18 e7 
안창은에게	f11 m0 e3 f14 m0 e20 f11 m18 e3 f11 m5 f0 m5 
안창재에게	f11 m0 e3 f14 m0 e20 f12 m1 f11 m5 f0 m5 
안채선에게	f11 m0 e3 f14 m1 f9 m4 e3 f11 m5 f0 m5 
안철민	f11 m0 e3 f14 m4 e7 f6 m20 e3 
안철우에게	f11 m0 e3 f14 m4 e7 f11 m13 f11 m5 f0 m5 
안청로	f11 m0 e3 f14 m4 e20 f5 m8 
안치용	f11 m0 e3 f14 m20 f11 m12 e20 
안치종에게	f11 m0 e3 f14 m20 f12 m8 e20 f11 m5 f0 m5 
안컴이에게	f11 m0 e3 f15 m4 e15 f11 m20 f11 m5 f0 m5 
안탈리아	f11 m0 e3 f16 m0 e7 f5 m20 f11 m0 
안태경	f11 m0 e3 f16 m1 f0 m6 e20 
안태규에게	f11 m0 e3 f16 m1 f0 m17 f11 m5 f0 m5 
안태웅에	f11 m0 e3 f16 m1 f11 m13 e20 f11 m5 
안택균	f11 m0 e3 f16 m1 e0 f0 m17 e3 
안테나	f11 m0 e3 f16 m5 f2 m0 
안평	f11 m0 e3 f17 m6 e20 
안평리	f11 m0 e3 f17 m6 e20 f5 m20 
안평역	f11 m0 e3 f17 m6 e20 f11 m6 e0 
안해강	f11 m0 e3 f18 m1 f0 m0 e20 
안해련	f11 m0 e3 f18 m1 f5 m6 e3 
안해에게	f11 m0 e3 f18 m1 f11 m5 f0 m5 
안행집	f11 m0 e3 f18 m1 e20 f12 m20 e16 
안혁에게	f11 m0 e3 f18 m6 e0 f11 m5 f0 m5 
안현로	f11 m0 e3 f18 m6 e3 f5 m8 
안현모에게	f11 m0 e3 f18 m6 e3 f6 m8 f11 m5 f0 m5 
안현상	f11 m0 e3 f18 m6 e3 f9 m0 e20 
안현주	f11 m0 e3 f18 m6 e3 f12 m13 
안현준에게	f11 m0 e3 f18 m6 e3 f12 m13 e3 f11 m5 f0 m5 
안현지에게	f11 m0 e3 f18 m6 e3 f12 m20 f11 m5 f0 m5 
안현지한테	f11 m0 e3 f18 m6 e3 f12 m20 f18 m0 e3 f16 m5 
안현진	f11 m0 e3 f18 m6 e3 f12 m20 e3 
안형근	f11 m0 e3 f18 m6 e20 f0 m18 e3 
안형수	f11 m0 e3 f18 m6 e20 f9 m13 
안혜민한테	f11 m0 e3 f18 m7 f6 m20 e3 f18 m0 e3 f16 m5 
안혜성	f11 m0 e3 f18 m7 f9 m4 e20 
안혜수	f11 m0 e3 f18 m7 f9 m13 
안혜정	f11 m0 e3 f18 m7 f12 m4 e20 
안혜진이	f11 m0 e3 f18 m7 f12 m20 e3 f11 m20 
안화고등학교	f11 m0 e3 f18 m9 f0 m8 f3 m18 e20 f18 m0 e0 f0 m12 
안흥	f11 m0 e3 f18 m18 e20 
안흥지	f11 m0 e3 f18 m18 e20 f12 m20 
안흥지로	f11 m0 e3 f18 m18 e20 f12 m20 f5 m8 
안흥항	f11 m0 e3 f18 m18 e20 f18 m0 e20 
안희성에게	f11 m0 e3 f18 m19 f9 m4 e20 f11 m5 f0 m5 
안희열에게	f11 m0 e3 f18 m19 f11 m6 e7 f11 m5 f0 m5 
안희지	f11 m0 e3 f18 m19 f12 m20 
안희철에게	f11 m0 e3 f18 m19 f14 m4 e7 f11 m5 f0 m5 
않니	f11 m0 e5 f2 m20 
않을까요	f11 m0 e5 f11 m18 e7 f1 m0 f11 m12 
알	f11 m0 e7 
알곡	f11 m0 e7 f0 m8 e0 
알곤이	f11 m0 e7 f0 m8 e3 f11 m20 
알다마에게	f11 m0 e7 f3 m0 f6 m0 f11 m5 f0 m5 
알단테	f11 m0 e7 f3 m0 e3 f16 m5 
알동네집	f11 m0 e7 f3 m8 e20 f2 m5 f12 m20 e16 
알뜨르비행장	f11 m0 e7 f4 m18 f5 m18 f7 m20 f18 m1 e20 f12 m0 e20 
알뜰주유소	f11 m0 e7 f4 m18 e7 f12 m13 f11 m17 f9 m8 
알뜰폰	f11 m0 e7 f4 m18 e7 f17 m8 e3 
알라딘	f11 m0 e7 f5 m0 f3 m20 e3 
알라딘중고서점	f11 m0 e7 f5 m0 f3 m20 e3 f12 m13 e20 f0 m8 f9 m4 f12 m4 e15 
알라뷰에게	f11 m0 e7 f5 m0 f7 m17 f11 m5 f0 m5 
알라비투	f11 m0 e7 f5 m0 f7 m20 f16 m13 
알라에게	f11 m0 e7 f5 m0 f11 m5 f0 m5 
알람	f11 m0 e7 f5 m0 e15 
알람한테	f11 m0 e7 f5 m0 e15 f18 m0 e3 f16 m5 
알러뷰	f11 m0 e7 f5 m4 f7 m17 
알레그리아	f11 m0 e7 f5 m5 f0 m18 f5 m20 f11 m0 
알레르망	f11 m0 e7 f5 m5 f5 m18 f6 m0 e20 
알레시스	f11 m0 e7 f5 m5 f9 m20 f9 m18 
알렉스	f11 m0 e7 f5 m5 e0 f9 m18 
알려	f11 m0 e7 f5 m6 
알려주세요	f11 m0 e7 f5 m6 f12 m13 f9 m5 f11 m12 
알려준	f11 m0 e7 f5 m6 f12 m13 e3 
알려줘	f11 m0 e7 f5 m6 f12 m14 
알려줘요	f11 m0 e7 f5 m6 f12 m14 f11 m12 
알로에	f11 m0 e7 f5 m8 f11 m5 
알로프트	f11 m0 e7 f5 m8 f17 m18 f16 m18 
알리	f11 m0 e7 f5 m20 
알리앙스	f11 m0 e7 f5 m20 f11 m0 e20 f9 m18 
알리우스cc	f11 m0 e7 f5 m20 f11 m13 f9 m18 c c 
알마	f11 m0 e7 f6 m0 
알마타길	f11 m0 e7 f6 m0 f16 m0 f0 m20 e7 
알맥스	f11 m0 e7 f6 m1 e0 f9 m18 
알바	f11 m0 e7 f7 m0 
알바노	f11 m0 e7 f7 m0 f2 m8 
알바트로스	f11 m0 e7 f7 m0 f16 m18 f5 m8 f9 m18 
알밤	f11 m0 e7 f7 m0 e15 
알비	f11 m0 e7 f7 m20 
알아	f11 m0 e7 f11 m0 
알아볼게	f11 m0 e7 f11 m0 f7 m8 e7 f0 m5 
알았다	f11 m0 e7 f11 m0 e19 f3 m0 
알았어	f11 m0 e7 f11 m0 e19 f11 m4 
알았어요	f11 m0 e7 f11 m0 e19 f11 m4 f11 m12 
알앤더스	f11 m0 e7 f11 m1 e3 f3 m4 f9 m18 
알앤비	f11 m0 e7 f11 m1 e3 f7 m20 
알에게	f11 m0 e7 f11 m5 f0 m5 
알찜	f11 m0 e7 f13 m20 e15 
